skill,filter_type,valid
11gr2,numerical,
1h nmr,numerical,
2008 r2,numerical,
21 cfr,numerical,
24x7 production support,numerical,n
2d animation,numerical,
2d software,numerical,
360 feedback,numerical,
360 recruitment,numerical,
3d animation,numerical,
3d design,numerical,
3d reconstruction,numerical,
3d scanning,numerical,
3gpp,numerical,
3par,numerical,
4pl,numerical,
a320,numerical,
a330,numerical,
amazon s3,numerical,
as400 administration,numerical,
as9100,numerical,
ax 2009,numerical,
axis2,numerical,
b2b2c,numerical,
b777,numerical,
c4isr,numerical,
cam350,numerical,
cdma2000,numerical,
cq5,numerical,
ddr3,numerical,
fin 48,numerical,
force10,numerical,
h2s,numerical,
html5,numerical,
i2c,numerical,
ias 39,numerical,
ipv4,numerical,
ipv6,numerical,
isae 3402,numerical,
iso20022,numerical,
iso8583,numerical,
j2me,numerical,
l2vpn,numerical,
log4j,numerical,
m2m,numerical,
mpeg2,numerical,
msp430,numerical,
neo4j,numerical,
ocs 2007,numerical,
office 365,numerical,
ohsas 18001,numerical,
p2p,numerical,
p2v,numerical,
pcs7,numerical,
pop3,numerical,
primavera p6,numerical,
prince2,numerical,
progress 4gl,numerical,
ps4,numerical,
qs9000,numerical,
query400,numerical,
radian6,numerical,
rs232,numerical,
rs485,numerical,
sas70,numerical,
sox 404,numerical,
sp3d,numerical,
ssae 16,numerical,
ssas 2008,numerical,
temenos t24,numerical,
teradyne j750,numerical,
tl9000,numerical,
tm1,numerical,
uc4,numerical,
unity3d,numerical,
verigy 93k,numerical,
w3c standards,numerical,
x86,numerical,n
access,subsuper,n
access control,subsuper,
access lists,subsuper,n
access networks,subsuper,
access points,subsuper,
broadband access,subsuper,
card access,subsuper,
client access,subsuper,
market access,subsuper,
microsoft access,subsuper,
open access,subsuper,
remote access,subsuper,
rope access,subsuper,
wireless access,subsuper,
access control management,subsuper,
direct market access,subsuper,
oracle access manager,subsuper,
tivoli access manager,subsuper,
accident,subsuper,n
accident claims,subsuper,
accident insurance,subsuper,
accident investigation,subsuper,
personal accident,subsuper,n
acoustics,subsuper,
underwater acoustics,subsuper,
acquisitions,subsuper,n
new customer acquisitions,subsuper,
real estate acquisitions,subsuper,
administrative,subsuper,
administrative assistance,subsuper,
administrative law,subsuper,
administrative organization,subsuper,
administrative processes,subsuper,n
adobe,subsuper,
adobe acrobat,subsuper,
adobe analytics,subsuper,
adobe connect,subsuper,
adobe fireworks,subsuper,
adobe illustrator,subsuper,
adobe livecycle,subsuper,
adobe photoshop,subsuper,
adobe creative suite,subsuper,
adobe experience manager,subsuper,
adobe marketing cloud,subsuper,
adobe premiere pro,subsuper,
advanced,subsuper,n
advanced process control,subsuper,
aerospace,subsuper,
aerospace engineering,subsuper,
aerospace industries,subsuper,
aerospace manufacturing,subsuper,
affinity,subsuper,
affinity chromatography,subsuper,
agile,subsuper,
agile methodologies,subsuper,
agile testing,subsuper,
agile project management,subsuper,
agresso,subsuper,
agresso business world,subsuper,
aircraft,subsuper,
aircraft design,subsuper,
aircraft engines,subsuper,
aircraft finance,subsuper,
aircraft interiors,subsuper,
aircraft leasing,subsuper,
aircraft maintenance,subsuper,
aircraft management,subsuper,
aircraft structures,subsuper,
aircraft systems,subsuper,
ale,subsuper,
sap ale,subsuper,
algebra,subsuper,
linear algebra,subsuper,
algorithms,subsuper,
search algorithms,subsuper,
alv,subsuper,
alv reports,subsuper,
amplifiers,subsuper,
power amplifiers,subsuper,
analytics,subsuper,
business analytics,subsuper,
data analytics,subsuper,
google analytics,subsuper,
healthcare analytics,subsuper,
hr analytics,subsuper,
loyalty analytics,subsuper,
marketing analytics,subsuper,
mobile analytics,subsuper,
predictive analytics,subsuper,
quantitative analytics,subsuper,
risk analytics,subsuper,
search analytics,subsuper,
social analytics,subsuper,
strategic analytics,subsuper,
talent analytics,subsuper,
text analytics,subsuper,
video analytics,subsuper,
visual analytics,subsuper,
web analytics,subsuper,
workforce analytics,subsuper,
big data analytics,subsuper,
analyzer,subsuper,n
bex analyzer,subsuper,
logic analyzer,subsuper,
network analyzer,subsuper,
spectrum analyzer,subsuper,
anatomy,subsuper,n
human anatomy,subsuper,
android,subsuper,
android development,subsuper,
android sdk,subsuper,
android studio,subsuper,
anthropology,subsuper,
cultural anthropology,subsuper,
antibodies,subsuper,
monoclonal antibodies,subsuper,
antivirus,subsuper,
symantec antivirus,subsuper,
apache,subsuper,
apache camel,subsuper,
apache cordova,subsuper,
apache spark,subsuper,
apartments,subsuper,n
serviced apartments,subsuper,n
api,subsuper,
api 653,subsuper,
api 6a,subsuper,
api development,subsuper,
api testing,subsuper,
web services api,subsuper,
apple,subsuper,n
apple certified,subsuper,
apple software,subsuper,
arbitrage,subsuper,
risk arbitrage,subsuper,
statistical arbitrage,subsuper,
arbitration,subsuper,
international arbitration,subsuper,
arcgis,subsuper,
arcgis server,subsuper,
architecture,subsuper,
application architecture,subsuper,
architecture management,subsuper,
autocad architecture,subsuper,
brand architecture,subsuper,
business architecture,subsuper,
computer architecture,subsuper,
data architecture,subsuper,
enterprise architecture,subsuper,
functional architecture,subsuper,
hardware architecture,subsuper,
information architecture,subsuper,
integration architecture,subsuper,
interior architecture,subsuper,
landscape architecture,subsuper,
naval architecture,subsuper,
network architecture,subsuper,
platform architecture,subsuper,
process architecture,subsuper,
revit architecture,subsuper,
sap architecture,subsuper,
server architecture,subsuper,
software architecture,subsuper,
solution architecture,subsuper,
storage architecture,subsuper,
sustainable architecture,subsuper,n
system architecture,subsuper,
technical architecture,subsuper,
technology architecture,subsuper,
web architecture,subsuper,
application security architecture,subsuper,
data center architecture,subsuper,
security architecture design,subsuper,
art,subsuper,
2d art,subsuper,
art direction,subsuper,n
art gallery,subsuper,
art history,subsuper,
art therapy,subsuper,
concept art,subsuper,
contemporary art,subsuper,
digital art,subsuper,
fine art,subsuper,
interactive art,subsuper,
latte art,subsuper,
modern art,subsuper,
performance art,subsuper,
studio art,subsuper,
prior art search,subsuper,n
artwork,subsuper,
packaging artwork,subsuper,
assembly,subsuper,n
assembly language,subsuper,
assembly lines,subsuper,
assembly processes,subsuper,
design for assembly,subsuper,
assessment,subsuper,n
candidate assessment,subsuper,
classroom assessment,subsuper,
cognitive assessment,subsuper,
competency assessment,subsuper,
controls assessment,subsuper,
educational assessment,subsuper,
exposure assessment,subsuper,
impact assessment,subsuper,
neuropsychological assessment,subsuper,
opportunity assessment,subsuper,
portfolio assessment,subsuper,
psychological assessment,subsuper,
risk assessment,subsuper,
self assessment,subsuper,n
vulnerability assessment,subsuper,
assessment for learning,subsuper,n
competency based assessment,subsuper,n
environmental impact assessment,subsuper,
life cycle assessment,subsuper,
astm,subsuper,
astm standards,subsuper,
auditing,subsuper,
auditing standards,subsuper,
environmental auditing,subsuper,
process auditing,subsuper,
quality auditing,subsuper,
safety auditing,subsuper,
financial statement auditing,subsuper,
aura,subsuper,
avaya aura,subsuper,
autocad,subsuper,
autocad mechanical,subsuper,
autocad civil 3d,subsuper,
autodesk,subsuper,
autodesk inventor,subsuper,
autodesk motionbuilder,subsuper,
autodesk software,subsuper,
autodesk vault,subsuper,
automation,subsuper,
build automation,subsuper,
building automation,subsuper,
home automation,subsuper,
industrial automation,subsuper,
laboratory automation,subsuper,
marketing automation,subsuper,
office automation,subsuper,
process automation,subsuper,
qa automation,subsuper,
substation automation,subsuper,
system automation,subsuper,
test automation,subsuper,
ui automation,subsuper,
business process automation,subsuper,
oracle policy automation,subsuper,
test automation framework,subsuper,
test automation tools,subsuper,
automotive,subsuper,
automotive aftermarket,subsuper,
automotive electronics,subsuper,
automotive engineering,subsuper,
automotive parts,subsuper,
automotive products,subsuper,
automotive repair,subsuper,
automotive technology,subsuper,
availability,subsuper,n
high availability,subsuper,n
avaya,subsuper,
avaya communication manager,subsuper,
avaya ip telephony,subsuper,
aviation,subsuper,
aviation law,subsuper,
aviation regulations,subsuper,
aviation security,subsuper,
business aviation,subsuper,
civil aviation,subsuper,
commercial aviation,subsuper,
general aviation,subsuper,n
aws,subsuper,
aws cwi,subsuper,
b2b,subsuper,
b2b marketing,subsuper,
b2b software,subsuper,
b2c,subsuper,
b2c marketing,subsuper,
balance,subsuper,
balance sheet,subsuper,
game balance,subsuper,
trial balance,subsuper,
balance sheet review,subsuper,
work life balance,subsuper,n
ballet,subsuper,
classical ballet,subsuper,
banners,subsuper,n
rich media banners,subsuper,
barcode,subsuper,n
barcode scanners,subsuper,
basic,subsuper,n
visual basic,subsuper,
batteries,subsuper,n
