skill,filter_type,valid
23,numerical,n
3d max,numerical,
3d scanning systems,numerical,
adobe cq5,numerical,
api q1,numerical,
as2,numerical,
autocad 2d,numerical,
autodesk 3ds max,numerical,
b2b ecommerce,numerical,
b2b integration,numerical,
b2b sales,numerical,
b2b services,numerical,
catia v5,numerical,
css2,numerical,
css3,numerical,
db2,numerical,
hl7,numerical,
iso 8583,numerical,
iso13485,numerical,
iso14001,numerical,
iso9001,numerical,
j2se,numerical,
jlpt n1,numerical,
k2 blackpearl,numerical,
lync server 2010,numerical,
microsoft exchange 2010,numerical,
microsoft office 2003,numerical,
microsoft office 2007,numerical,
microsoft office 365,numerical,
moss 2007,numerical,
ohsas18001,numerical,
oracle 10g,numerical,
oracle 11g,numerical,
oracle 9i,numerical,
oracle developer 2000,numerical,
oshas 18001,numerical,
sap b1,numerical,
sap r3,numerical,
sap ui5,numerical,
series 63,numerical,
sharepoint 2007,numerical,
sharepoint 2010,numerical,
sharepoint 2013,numerical,
sql server 2008,numerical,
struts2,numerical,
t24,numerical,
ts16949,numerical,
vb6,numerical,
win32,numerical,n
windows 2008,numerical,
windows server 2003,numerical,
windows server 2008,numerical,
windows server 2012,numerical,
3pl,subsuper,
3pl management,subsuper,
abap,subsuper,
sap abap,subsuper,
accounting,subsuper,
accounting applications,subsuper,
accounting policy,subsuper,
basic accounting,subsuper,n
financial accounting,subsuper,
general accounting,subsuper,n
managerial accounting,subsuper,
technical accounting,subsuper,
ubs accounting,subsuper,
accounting and finance,subsuper,n
myob accounting software,subsuper,
ubs accounting software,subsuper,
ubs accounting system,subsuper,n
accpac,subsuper,
sage accpac,subsuper,
acta,subsuper,
acta certified,subsuper,n
adaptable,subsuper,
adaptable to changes,subsuper,n
adaptive,subsuper,
adaptive planning,subsuper,
adf,subsuper,
oracle adf,subsuper,
administration,subsuper,
business administration,subsuper,
contract administration,subsuper,
corporate administration,subsuper,
credit administration,subsuper,
firewall administration,subsuper,
oracle administration,subsuper,
project administration,subsuper,
school administration,subsuper,
siebel administration,subsuper,
training administration,subsuper,
general office administration,subsuper,
linux server administration,subsuper,
windows server administration,subsuper,
administrator,subsuper,n
tibco administrator,subsuper,
ads,subsuper,
facebook ads,subsuper,n
print ads,subsuper,n
adults,subsuper,n
teaching adults,subsuper,n
advertising,subsuper,
advertising agency,subsuper,n
advertising copy,subsuper,n
consumer advertising,subsuper,
digital advertising,subsuper,
facebook advertising,subsuper,
tv advertising,subsuper,
advertising and promotions,subsuper,n
advisory,subsuper,
risk advisory,subsuper,
strategic advisory,subsuper,
analog,subsuper,n
analog design,subsuper,
analytical,subsuper,
analytical abilities,subsuper,n
analytical approach,subsuper,n
strong analytical skills,subsuper,n
aquisition,subsuper,
client aquisition,subsuper,
architectural,subsuper,
architectural drafting,subsuper,
arena,subsuper,n
front arena,subsuper,n
artist,subsuper,
artist development,subsuper,
artist management,subsuper,
texture artist,subsuper,
arts,subsuper,
arts management,subsuper,
fine arts,subsuper,
as400,subsuper,
as400 system,subsuper,n
asp,subsuper,
classic asp,subsuper,
asset,subsuper,n
asset enhancement,subsuper,
asset finance,subsuper,
asset managment,subsuper,
asset servicing,subsuper,
asset liability management,subsuper,
asset management software,subsuper,
media asset management,subsuper,
assurance,subsuper,n
quality assurance,subsuper,
revenue assurance,subsuper,
audit,subsuper,
financial audit,subsuper,
security audit,subsuper,
audits,subsuper,n
compliance audits,subsuper,
ehs audits,subsuper,
safety audits,subsuper,
auto,subsuper,
auto cad,subsuper,n
avamar,subsuper,
emc avamar,subsuper,
awareness,subsuper,n
building brand awareness,subsuper,
backup,subsuper,
backup servers,subsuper,
enterprise backup,subsuper,
symantec backup exec,subsuper,
band,subsuper,
band saws,subsuper,
bands,subsuper,n
exercise bands,subsuper,n
banking,subsuper,
banking operations,subsuper,
banking technology,subsuper,
consumer banking,subsuper,
corporate banking,subsuper,
digital banking,subsuper,
institutional banking,subsuper,
islamic banking,subsuper,
mortgage banking,subsuper,
retail banking,subsuper,
transaction banking,subsuper,
banking and finance,subsuper,n
benefits,subsuper,n
employee benefits,subsuper,n
flexible benefits,subsuper,n
bid,subsuper,
bid management,subsuper,
bid support,subsuper,
bilingual,subsuper,
bilingual proficiency,subsuper,n
bing,subsuper,
microsoft bing,subsuper,
black,subsuper,n
master black belt,subsuper,
blogger,subsuper,
blogger outreach,subsuper,n
blogger relations,subsuper,
books,subsuper,n
receipt books,subsuper,n
broking,subsuper,
insurance broking,subsuper,
budgets,subsuper,n
controlling budgets,subsuper,
managing project budgets,subsuper,
buying,subsuper,n
programmatic buying,subsuper,
camera,subsuper,
camera lenses,subsuper,
camera operator,subsuper,
campaign,subsuper,n
campaign optimization,subsuper,
campaign planning,subsuper,
marketing campaign management,subsuper,
cell,subsuper,n
cell phones,subsuper,
live cell imaging,subsuper,
certifications,subsuper,n
iso certifications,subsuper,
certified,subsuper,n
ccna certified,subsuper,
ccnp certified,subsuper,
certified pmp,subsuper,
certified trainer,subsuper,
istqb certified,subsuper,
pmp certified,subsuper,
certified ethical hacker,subsuper,n
certified financial planner,subsuper,n
certified internal auditor,subsuper,n
certified project manager,subsuper,n
certified public accountant,subsuper,n
certified scrum master,subsuper,n
microsoft certified professional,subsuper,
change,subsuper,n
change communication,subsuper,n
change leadership,subsuper,n
leading change,subsuper,n
