skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017
23,no_filter,,103,125,103
win32,no_filter,,2,16,6
basic accounting,subsuper,"accounting,basic,accounting applications,accounting management,accounting policy,accounting software,accounting standards,accounting system,basic html,basic japanese,basic java,basic networking,basic photography,basic photoshop,basic programming,basic sql,carbon accounting,cost accounting,financial accounting,forensic accounting,fund accounting,general accounting,hedge accounting,international accounting,management accounting,managerial accounting,project accounting,sap accounting,statutory accounting,tax accounting,technical accounting,ubs accounting,visual basic,accounting and finance,finance and accounting,international accounting standards,myob accounting software,oracle project accounting,ubs accounting software,ubs accounting system",55,401,266
general accounting,subsuper,"accounting,accounting applications,accounting management,accounting policy,accounting software,accounting standards,accounting system,basic accounting,carbon accounting,cost accounting,financial accounting,forensic accounting,fund accounting,general accounts,general administration,general aviation,general insurance,general ledger,general liability,general management,general operations,general practice,general surgery,hedge accounting,international accounting,management accounting,managerial accounting,project accounting,sap accounting,statutory accounting,tax accounting,technical accounting,ubs accounting,accounting and finance,finance and accounting,general administrative duties,general office administration,international accounting standards,myob accounting software,oracle general ledger,oracle project accounting,ubs accounting software,ubs accounting system",121,105,88
accounting and finance,subsuper,"accounting,accounting applications,accounting management,accounting policy,accounting software,accounting standards,accounting system,acquisition finance,aircraft finance,asset finance,basic accounting,business finance,carbon accounting,commercial finance,computational finance,consumer finance,corporate finance,cost accounting,export finance,finance management,finance operations,finance transformation,financial accounting,forensic accounting,fund accounting,general accounting,global finance,hedge accounting,international accounting,international finance,invoice finance,leveraged finance,management accounting,managerial accounting,personal finance,project accounting,project finance,public finance,quantitative finance,sales finance,sap accounting,ship finance,shipping finance,statutory accounting,strategic finance,structured finance,tax accounting,technical accounting,trade finance,ubs accounting,advertising and promotions,banking and finance,banking and finance,budgeting and forecasting,coaching and mentoring,compensation and benefits,education and training,excel and powerpoint,finance and accounting,finance and accounting,finance and accounting,finance function transformation,food and beverage,health and safety,international accounting standards,leadership and management,learning and development,marketing and sales,mergers and acquisitions,myob accounting software,oil and gas,oracle project accounting,planning and organizing,planning and scheduling,real estate finance,recruitment and selection,research and analysis,research and development,routing and switching,sales and marketing,speech and drama,structured commodity finance,structured trade finance,supply chain finance,testing and commissioning,training and assessment,training and development,ubs accounting software,ubs accounting system,written and spoken",45,236,134
ubs accounting system,subsuper,"accounting,ubs,accounting applications,accounting management,accounting policy,accounting software,accounting standards,accounting system,accounting system,as400 system,basic accounting,carbon accounting,client system,cooling system,cost accounting,erp system,financial accounting,forensic accounting,fund accounting,general accounting,hedge accounting,international accounting,management accounting,management system,managerial accounting,opera system,project accounting,quality system,sap accounting,sap system,statutory accounting,sun system,system administration,system analysis,system analyst,system architecture,system automation,system center,system configuration,system control,system deployment,system design,system development,system dynamics,system engineering,system identification,system implementation,system implementations,system installations,system integration,system integrators,system maintenance,system migration,system monitoring,system requirements,system safety,system security,system setup,system specification,system testing,system verification,system verilog,tax accounting,technical accounting,trading system,ubs accounting,ubs accounting,accounting and finance,computer system validation,content management system,control system design,control system software,database management system,distributed control system,electronic system design,finance and accounting,information system design,inspection management system,international accounting standards,linux system administration,manufacturing execution system,measurement system analysis,microsoft system center,myob accounting software,operating system software,oracle project accounting,power system operations,power system studies,quality management system,quality system compliance,remedy ticketing system,solar system design,system center products,system center suite,system integration testing,time management system,ubs accounting software,ubs accounting software,warehouse management system,windows operating system,windows system administration",1,8,5
acta certified,subsuper,"acta,certified,apple certified,ccna certified,ccnp certified,certified arborist,certified pmp,certified trainer,cisco certified,ibm certified,istqb certified,itil certified,pmp certified,certified energy manager,certified ethical hacker,certified financial planner,certified internal auditor,certified project manager,certified public accountant,certified scrum master,microsoft certified professional,microsoft certified technology",3,70,26
adaptable to changes,subsuper,"adaptable,easily adaptable,attention to detail,attention to details,chinese to english,committed to work,dedicated to work,dedication to work,determination to succeed,determined to succeed,direct to consumer,eagerness to learn,english to chinese,english to japanese,free to play,freedom to operate,japanese to english,listening to customers,love to learn,mark to market,order to cash,passion to succeed,permit to work,presenting to clients,procure to pay,quote to cash,ready to learn,record to report,waste to energy",1,134,75
administrator,subsuper,tibco administrator,594,816,436
facebook ads,subsuper,"ads,facebook,banner ads,bing ads,facebook advertising,facebook marketing,print ads",1,25,35
print ads,subsuper,"ads,print,banner ads,bing ads,facebook ads,print advertising,print collateral,print design,print management,print media,print production,print servers,managed print services,print production process",13,12,6
adults,subsuper,"teaching adults,young adults",37,136,65
teaching adults,subsuper,"adults,teaching,chinese teaching,english teaching,language teaching,teaching classes,teaching english,teaching experience,teaching reading,teaching skills,teaching writing,undergraduate teaching,university teaching,young adults",1,5,1
advertising agency,subsuper,"advertising,advertising collateral,advertising copy,advertising management,advertising operations,advertising research,advertising sales,agency agreements,agency coordination,agency development,agency relations,consumer advertising,digital advertising,display advertising,facebook advertising,interactive advertising,linkedin advertising,mobile advertising,online advertising,outdoor advertising,print advertising,radio advertising,recruitment advertising,search advertising,transfer agency,travel agency,tv advertising,video advertising,advertising and promotions,managing agency relationships,social media advertising",53,173,100
advertising copy,subsuper,"advertising,advertising agency,advertising collateral,advertising management,advertising operations,advertising research,advertising sales,consumer advertising,copy editing,copy machines,copy writing,digital advertising,display advertising,facebook advertising,interactive advertising,linkedin advertising,marketing copy,mobile advertising,online advertising,outdoor advertising,print advertising,promotional copy,radio advertising,recruitment advertising,search advertising,tv advertising,video advertising,website copy,advertising and promotions,social media advertising",9,3,1
advertising and promotions,subsuper,"advertising,promotions,advertising agency,advertising collateral,advertising copy,advertising management,advertising operations,advertising research,advertising sales,consumer advertising,digital advertising,display advertising,facebook advertising,interactive advertising,linkedin advertising,mobile advertising,online advertising,outdoor advertising,print advertising,radio advertising,recruitment advertising,search advertising,trade promotions,tv advertising,video advertising,accounting and finance,banking and finance,budgeting and forecasting,coaching and mentoring,compensation and benefits,education and training,excel and powerpoint,finance and accounting,food and beverage,health and safety,leadership and management,learning and development,marketing and sales,mergers and acquisitions,oil and gas,planning and organizing,planning and scheduling,recruitment and selection,research and analysis,research and development,routing and switching,sales and marketing,social media advertising,speech and drama,testing and commissioning,training and assessment,training and development,written and spoken",22,7,5
analog,subsuper,"analog circuits,analog design,analog circuit design",90,424,213
analytical abilities,subsuper,"analytical,analytical approach,analytical biochemistry,analytical capability,analytical chemistry,analytical instruments,analytical modelling,analytical reasoning,analytical review,analytical skills,analytical software,analytical techniques,analytical writing,closing abilities,analytical method validation,high analytical skills,possess strong analytical,process analytical technology,strong analytical skills",112,223,166
analytical approach,subsuper,"analytical,analytical abilities,analytical biochemistry,analytical capability,analytical chemistry,analytical instruments,analytical modelling,analytical reasoning,analytical review,analytical skills,analytical software,analytical techniques,analytical writing,consultative approach,flexible approach,logical approach,systematic approach,analytical method validation,high analytical skills,possess strong analytical,process analytical technology,result oriented approach,strong analytical skills",19,100,75
strong analytical skills,subsuper,"analytical,analytical abilities,analytical approach,analytical biochemistry,analytical capability,analytical chemistry,analytical instruments,analytical modelling,analytical reasoning,analytical review,analytical skills,analytical skills,analytical software,analytical techniques,analytical writing,clerical skills,clinical skills,communication skills,communicative skills,computer skills,coordinating skills,coordination skills,creativity skills,culinary skills,drawing skills,editorial skills,entrepreneurial skills,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,keyboard skills,laboratory skills,language skills,leadership skills,life skills,listening skills,management skills,managerial skills,multitasking skills,negotiation skills,organisational skills,organization skills,organizational skills,people skills,phone skills,powerpoint skills,presentation skills,prospecting skills,reasoning skills,secretarial skills,selling skills,social skills,soft skills,study skills,supervisory skills,teaching skills,telephone skills,training skills,writing skills,analytical method validation,build strong relationships,client facing skills,client interfacing skills,decision making skills,exceptional people skills,executive presentation skills,good communication skills,good interpersonal skills,great people skills,high analytical skills,high analytical skills,interpersonal communication skills,possess strong analytical,possess strong analytical,problem solving skills,process analytical technology,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong business acumen,vendor management skills",168,3390,0
arena,subsuper,front arena,75,131,86
front arena,subsuper,"arena,front office,front end developers,front office development,front office support",4,15,8
as400 system,subsuper,"as400,accounting system,as400 administration,client system,cooling system,erp system,management system,opera system,quality system,sap system,sun system,system administration,system analysis,system analyst,system architecture,system automation,system center,system configuration,system control,system deployment,system design,system development,system dynamics,system engineering,system identification,system implementation,system implementations,system installations,system integration,system integrators,system maintenance,system migration,system monitoring,system requirements,system safety,system security,system setup,system specification,system testing,system verification,system verilog,trading system,computer system validation,content management system,control system design,control system software,database management system,distributed control system,electronic system design,information system design,inspection management system,linux system administration,manufacturing execution system,measurement system analysis,microsoft system center,operating system software,power system operations,power system studies,quality management system,quality system compliance,remedy ticketing system,solar system design,system center products,system center suite,system integration testing,time management system,ubs accounting system,warehouse management system,windows operating system,windows system administration",2,14,6
asset,subsuper,"asset allocation,asset enhancement,asset finance,asset integrity,asset management,asset managment,asset protection,asset servicing,asset tracing,asset backed financing,asset liability management,asset management software,digital asset management,enterprise asset management,fixed asset depreciation,fixed asset management,fixed asset register,global asset management,intellectual asset management,it asset management,media asset management,software asset management,tactical asset allocation",1370,2163,1202
assurance,subsuper,"flow assurance,information assurance,project assurance,quality assurance,revenue assurance,service assurance,data quality assurance,laboratory quality assurance,quality assurance processes,quality assurance review,software quality assurance",546,2041,476
audits,subsuper,"communications audits,compliance audits,ehs audits,energy audits,financial audits,regulatory audits,safety audits,security audits,supplier audits,tax audits,risk based audits",1380,610,320
auto cad,subsuper,"auto,cad,auto claims,cad drafting",27,319,177
awareness,subsuper,"alcohol awareness,brand awareness,commercial awareness,cultural awareness,environmental awareness,security awareness,situational awareness,building brand awareness,information security awareness",1408,2480,1326
bands,subsuper,exercise bands,14,17,7
exercise bands,subsuper,"bands,corrective exercise,exercise design,exercise physiology,exercise prescription,group exercise",1,0,0
banking and finance,subsuper,"banking,acquisition finance,aircraft finance,asset finance,banking operations,banking relationships,banking software,banking solutions,banking technologies,banking technology,branch banking,business finance,commercial banking,commercial finance,computational finance,consumer banking,consumer finance,core banking,corporate banking,corporate finance,correspondent banking,digital banking,export finance,finance management,finance operations,finance transformation,global finance,institutional banking,international finance,internet banking,investment banking,invoice finance,islamic banking,leveraged finance,merchant banking,mobile banking,mortgage banking,offshore banking,personal banking,personal finance,phone banking,private banking,project finance,public finance,quantitative finance,retail banking,sales finance,ship finance,shipping finance,sme banking,sms banking,strategic finance,structured finance,trade finance,transaction banking,transactional banking,wholesale banking,accounting and finance,accounting and finance,advertising and promotions,budgeting and forecasting,coaching and mentoring,compensation and benefits,core banking implementation,education and training,excel and powerpoint,finance and accounting,finance and accounting,finance function transformation,food and beverage,health and safety,leadership and management,learning and development,marketing and sales,mergers and acquisitions,oil and gas,planning and organizing,planning and scheduling,real estate finance,recruitment and selection,research and analysis,research and development,routing and switching,sales and marketing,speech and drama,structured commodity finance,structured trade finance,supply chain finance,testing and commissioning,training and assessment,training and development,written and spoken",27,379,2059
benefits,subsuper,"benefits administration,benefits design,benefits management,benefits negotiation,benefits realisation,employee benefits,flexible benefits,retirement benefits,compensation and benefits",2159,7042,3233
employee benefits,subsuper,"benefits,benefits administration,benefits design,benefits management,benefits negotiation,benefits realisation,employee communications,employee counseling,employee engagement,employee grievance,employee handbooks,employee hiring,employee loyalty,employee management,employee orientations,employee recognition,employee relations,employee surveys,employee training,employee wellness,flexible benefits,retirement benefits,compensation and benefits,employee referral programs,employee stock options,employee value proposition,employee wellness programs,positive employee relations",113,120,123
flexible benefits,subsuper,"benefits,flexible,benefits administration,benefits design,benefits management,benefits negotiation,benefits realisation,employee benefits,flexible approach,flexible schedule,flexible working,retirement benefits,compensation and benefits",15,27,19
bilingual proficiency,subsuper,"bilingual,computer proficiency,language proficiency",0,27,8
black,subsuper,"black belt,black box testing,master black belt",108,324,966
blogger outreach,subsuper,"blogger,blogger relations,community outreach,educational outreach,media outreach,public outreach,student outreach,youth outreach,social media outreach",4,3,2
books,subsuper,"pitch books,receipt books",318,150,99
receipt books,subsuper,"books,pitch books,receipt printers",2,0,0
