skill_name,jobs_count,total_clean_jobposts
communication skills,49448,232021
interpersonal,47326,
resume,36515,
english,36395,
player,34365,
team player,34039,
computer,31463,
analytical,28303,
interpersonal skills,25810,
microsoft,25587,
word,25283,
self,24476,
email,23719,
excel,23683,
science,23066,
problem solving,17746,
computer science,16925,
education,15345,
basic,15315,
discipline,14735,
project management,14573,
pressure,14444,
presentation,14340,
levels,14337,
electrical,13915,
microsoft office,13908,
leadership,13874,
registration,13855,
availability,13811,
meticulous,13792,
ms word,13122,
ms office,13021,
accounting,12753,
independent,12691,
skill,12265,
mechanical,12078,
sql,11816,
travel,11271,
programming,10952,
administration,10561,
employment,10561,
communications,10547,
initiative,10447,
banking,10336,
web,10280,
mandarin,10268,
customer service,10215,
management skills,10180,
writing,10136,
problem solving skills,9758,
analytical skills,9277,
good communication skills,9196,
sap,9080,
java,8816,
supervision,8756,
powerpoint,8669,
oral,8655,
proactive,8653,
written communication,8535,
processing,8521,
reason,8508,
creative,8310,
construction,8303,
presentation skills,8149,
international,7901,
personality,7608,
security,7496,
dynamic,7398,
advanced,7358,
oracle,7356,
information technology,7138,
chinese,7065,
benefits,7042,
database,6970,
windows,6853,
manufacturing,6769,
driving,6758,
resourceful,6738,
risk,6567,
fluent,6556,
command,6533,
negotiation,6475,
attention to detail,6470,
search,6467,
flexible,6418,
architecture,6406,
electronics,6394,
retail,6386,
civil,6192,
recruitment,5973,
change,5881,
organized,5820,
contract,5775,
inform,5717,
commercial,5695,
competitive,5532,
media,5507,
languages,5467,
linux,5447,
digital,5400,
accountancy,5355,
troubleshooting,5350,
infrastructure,5341,
unix,5324,
integration,5316,
mobile,5228,
time management,5140,
social,5136,
consulting,5110,
culture,5044,
learning,5023,
good interpersonal skills,5019,
concepts,5003,
electrical engineering,4858,
javascript,4848,
software development,4843,
sound,4830,
remuneration,4805,
http,4782,
written and spoken,4781,
networking,4691,
mechanical engineering,4689,
scripting,4649,
consultant,4566,
self starter,4548,
medical,4507,
fit,4505,
responsibility,4416,
insurance,4352,
html,4343,
integrity,4327,
organisation,4264,
logistics,4217,
organizational skills,4186,
chemical,4169,
bilingual,4159,
autocad,4140,
regulatory,4054,
assessment,4038,
platforms,4032,
supply,4002,
certified,3957,
administrative,3929,
agile,3893,
regulations,3775,
access,3750,
strategy,3733,
audit,3680,
automation,3662,
transport,3640,
gmail,3630,
analytics,3618,
computer engineering,3617,
ms excel,3594,
food,3590,
power,3547,
