skill_name,count
interpersonal,67402
english,59749
team player,55343
resume,54559
communication skills,51327
analytical,43034
self,41121
computer,37287
player,35284
excel,35038
email,35027
communication,34239
word,32412
problem solving,30991
microsoft,28566
computer science,28490
science,27303
project management,26741
interpersonal skills,26706
levels,26280
basic,25863
presentation,25653
leadership,24987
education,24699
discipline,24402
pressure,23878
meticulous,22352
accounting,21854
independent,21158
registration,21096
availability,21034
electrical,20968
travel,20917
microsoft office,19727
ms word,19295
ms office,18951
sql,18805
customer service,18591
initiative,18477
programming,17818
communications,17559
mechanical,17492
administration,17254
banking,17094
writing,17061
web,16838
mandarin,16809
supervision,16289
java,16046
employment,15868
proactive,15732
it,15101
technical,14877
creative,14870
sap,14855
international,14807
dynamic,14747
written communication,14710
security,14479
construction,14132
oral,13554
processing,13460
powerpoint,13415
skill,13334
advanced,13273
database,13226
manufacturing,12782
risk,12768
contract,12568
benefits,12434
information technology,12086
oracle,12045
commercial,11972
change,11813
personality,11655
attention to detail,11640
recruitment,11511
reason,11467
chinese,11436
negotiation,11432
troubleshooting,11426
management,11321
competitive,11004
infrastructure,10942
driving,10926
architecture,10891
resourceful,10848
fluent,10819
management skills,10803
command,10649
good communication,10605
windows,10529
flexible,10431
integration,10347
retail,10296
problem solving skills,10227
organized,10076
strategy,10018
concepts,9944
learning,9882
culture,9853
digital,9781
responsibility,9694
good communication skills,9614
search,9587
linux,9580
analytical skills,9577
consulting,9553
inform,9349
software development,9303
time management,9284
logistics,9281
regulations,9202
electronics,9147
mobile,9091
media,9083
unix,8959
trends,8940
audit,8935
sound,8926
administrative,8884
javascript,8833
platforms,8775
organisation,8677
languages,8630
accountancy,8620
innovative,8582
presentation skills,8505
integrity,8491
http,8387
civil,8339
regulatory,8326
self starter,8210
consultant,8207
medical,8135
people,7997
remuneration,7991
networking,7983
agile,7983
https,7960
coordination,7887
written and spoken,7863
insurance,7661
html,7640
scripting,7615
electrical engineering,7554
mechanical engineering,7458
social,7416
good interpersonal,7344
hardware,7340
business development,7329
consultants,7285
best practices,7272
specifications,7187
impact,7152
targets,7101
fit,7072
expert,7046
health,6998
training,6977
python,6945
access,6878
deployment,6819
automation,6708
analytics,6671
autocad,6642
vendor,6537
assessment,6532
bilingual,6525
supply chain,6469
food,6379
transport,6348
certified,6337
credit,6335
language,6321
collaboration,6281
overseas,6246
computer engineering,6244
financial services,6221
organization,6148
feedback,6139
designing,6087
methodology,6080
chemical,6064
policy,6001
installation,5943
strong analytical,5897
legal,5890
ms excel,5882
business administration,5879
organizational,5863
tracking,5819
databases,5809
supply,5765
revenue,5701
industrial,5691
css,5662
certifications,5628
risk management,5625
groups,5614
inventory,5603
presentations,5587
deliverables,5582
procurement,5579
director,5551
cloud,5516
completion,5507
power,5445
energy,5415
investment,5385
house,5328
photoshop,5299
awareness,5214
decision making,5173
good interpersonal skills,5150
schedules,5137
performing,5127
computer literate,5085
internet,5070
frameworks,5060
law,5060
interpersonal communication,5034
driving license,5027
teamwork,5026
parties,5019
supervisory,5019
storage,5018
social media,5015
engineers,5000
orientation,4991
oil,4986
senior management,4960
controls,4959
road,4951
collaborative,4931
marine,4930
outlook,4910
japanese,4905
gas,4888
diversity,4871
statistics,4864
organised,4848
ownership,4847
self driven,4845
microsoft office applications,4812
history,4776
contractors,4774
microsoft excel,4765
hotel,4765
shipping,4750
teaching,4747
asset,4735
tax,4723
civil engineering,4684
selling,4680
ms office applications,4669
j2ee,4647
apac,4647
efficiency,4643
distribution,4624
components,4598
innovation,4589
work effectively,4564
business requirements,4564
reviews,4557
asp,4530
engagement,4522
economics,4522
working environment,4505
hospitality,4445
xml,4433
adaptable,4415
servers,4400
application development,4391
campaigns,4391
detail oriented,4368
confidentiality,4365
offshore,4363
itil,4359
healthcare,4351
crm,4349
organizational skills,4342
flexibility,4335
pricing,4291
modelling,4277
disposition,4238
conducting,4226
contracts,4225
structural,4216
coaching,4212
networks,4206
minutes,4206
gmail,4155
change management,4149
data analysis,4141
sql server,4140
trading,4136
facebook,4131
web services,4123
government,4117
advertising,4101
evaluation,4095
communicator,4071
acca,4021
business acumen,4015
visual,4014
sdlc,3991
outgoing,3986
erp,3966
quantitative,3965
optimization,3948
attention to details,3948
enquiries,3942
project manager,3925
meet deadlines,3900
multi tasking,3882
selection,3865
vision,3857
mysql,3853
technical support,3852
cisco,3816
community,3810
consultancy,3805
consumer,3799
coding,3788
motivation,3787
jquery,3766
human resources,3761
microsoft word,3758
results oriented,3754
aws,3716
html5,3713
result oriented,3699
metrics,3680
interaction,3679
customer oriented,3663
oral communication,3661
payroll,3621
rules,3605
people management,3602
claims,3598
event,3566
sourcing,3564
strong analytical skills,3558
plant,3550
leadership skills,3540
php,3538
mom,3536
excel and powerpoint,3504
governance,3498
hardworking,3493
information systems,3489
scheduling,3483
commerce,3460
mba,3460
payments,3447
adobe,3423
managerial,3408
mathematics,3406
respect,3386
continuous improvement,3383
purchasing,3371
