original,translated
3D/CAD/???????,3D / CAD / animation
3D??????????,3D graphic design
3D?????????????,3D particle dynamics
3D????,3D printing
3D?????,3D Material
Éclairage 3D,3D lighting
Éclairage et rendu,Lighting and rendering
Éclairage photo,Photo lighting
???????,animation
??????????????,Amateur video / audio
???????,Amateur photo
?????????,Illustration
?????????????????,Interactive web content
?????????????????,Internet Â· Social media
?????????,Wedding Photo
??????????,Web Typography
???????,Web design
???????????,Web design business
?????,Web conference
?????,Web analysis
?????,Web standard
????????????,operating system
???????????????,Operating system software
???????,Audio editing
???????,Open Source
?????????,Customer support
???,Color
?????????,Color correction
???????,career enhancement
??????,Career Development
?????????????,Cloud Computing
?????????,Cloud storage
?????,Game art
?????,Game development
?????????,communication
????????????,Content marketing
????????????,For computer beginners
??????????,Studio Writing
????,speech
????????,Spreadsheet
????????,Sales software
??????????????,Software project management
????????,Software development
????????,Software design
????????????????,Social media marketing
???????,typography
??????,technology
????????,Display advertisement
????????,Design Business
?????????,Design / Illustration
???????,Digital Life
??????,Digital paintings
?????????,Database software
????????,Database management
????????,Database development
?????,Data analysis
????????,Document management
????????,Network management
?????????,Backup / restore
????????????,Backend web development
????,business
????????????,Business intelligence
???????????,Business software
??????????,visualization
?????????,Video / Audio
????,Form
?????????????,Framework library
?????????????,Frontend web development
?????????,presentation
???????,programming
?????????,Programming foundation
?????????,Programming language
???????????,Project management software
????????,Page layout
???????,Home Office
????????,Portrait Photo
??????????,Microcontroller
????????,Masking and synthesis
???????,Messaging
?????,Take a memo
???,Email
?????????,Mobile application development
???????????,Mobile web design
????????,Mobile device
??????????,Mobile device management
???????????,Mobile marketing
????????????,Motion graphics
??????,Life skill
??????????,Leadership Â· Management
????,Retouching
??????,rendering
??????????,Word processing
??,Superior
??,intermediate
????????,Human resources management tool
?????,Virtualization technology
?????,Accounting skill
???,Conference technique
??????,Individual productivity
??????,For all levels
??,Photo
?????????,Photo shooting technique
???,Junior high school
??,primary
????,Movie editing
????,Printing production
??,synthesis
??,Commercial law
????,Sales Planning
??????,Industrial design
????,architectural design
??,drawing
????,Photographic Equipment
?????,Create document
????,Travel photos
????,Image production
????,Video equipment
???????,Structure modeling
???????,Free open course
???,productivity
????,Image output
????,Image processing
????,Image management
????,edit a picture
????,Black and white photos
????,Product photo
???????,Manufacturing modeling
????,Visual effect
????,Plan management
?????,Financial skills
??,A business
?????,Development tools
????,Electronic publishing
????,Landscape photo
?D?????,3D texture
?D?????,3D modeling
?D??????,3D Writing
